Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-01 00:00:00-04:00,2023-06-01,4.5,4.75,4.25,4.5,8488,0.0,0.0
2023-06-02 00:00:00-04:00,2023-06-02,4.75,5.75,4.25,5.25,7960,0.0,0.0
2023-06-05 00:00:00-04:00,2023-06-05,5.25,5.5,5.0,5.25,3840,0.0,0.0
2023-06-06 00:00:00-04:00,2023-06-06,5.25,5.25,4.75,5.0,10652,0.0,0.0
2023-06-07 00:00:00-04:00,2023-06-07,5.25,5.25,4.75,4.75,5244,0.0,0.0
2023-06-08 00:00:00-04:00,2023-06-08,5.25,5.25,4.5,4.5,4316,0.0,0.0
2023-06-09 00:00:00-04:00,2023-06-09,5.0,5.0,4.75,4.75,2588,0.0,0.0
2023-06-12 00:00:00-04:00,2023-06-12,5.0,5.0,4.5,4.5,3900,0.0,0.0
2023-06-13 00:00:00-04:00,2023-06-13,5.0,5.0,4.5,4.75,4016,0.0,0.0
2023-06-14 00:00:00-04:00,2023-06-14,4.75,5.0,4.5,4.75,7636,0.0,0.0
2023-06-15 00:00:00-04:00,2023-06-15,5.0,5.0,4.5,4.5,5812,0.0,0.0
2023-06-16 00:00:00-04:00,2023-06-16,4.75,4.75,4.5,4.5,9528,0.0,0.0
2023-06-20 00:00:00-04:00,2023-06-20,4.25,4.75,4.25,4.75,9816,0.0,0.0
2023-06-21 00:00:00-04:00,2023-06-21,5.0,6.0,4.5,5.0,96656,0.0,0.0
2023-06-22 00:00:00-04:00,2023-06-22,5.0,5.0,4.25,4.75,24796,0.0,0.0
2023-06-23 00:00:00-04:00,2023-06-23,4.5,5.5,4.5,5.0,35512,0.0,0.0
2023-06-26 00:00:00-04:00,2023-06-26,5.25,5.25,4.5,4.75,32364,0.0,0.0
2023-06-27 00:00:00-04:00,2023-06-27,5.0,5.0,4.5,4.75,9524,0.0,0.0
2023-06-28 00:00:00-04:00,2023-06-28,4.75,4.75,4.5,4.5,6544,0.0,0.0
2023-06-29 00:00:00-04:00,2023-06-29,4.25,5.0,4.25,5.0,12776,0.0,0.0
2023-06-30 00:00:00-04:00,2023-06-30,5.0,5.25,4.75,5.0,18596,0.0,0.0
2023-07-03 00:00:00-04:00,2023-07-03,5.25,5.75,5.25,5.75,12572,0.0,0.0
2023-07-05 00:00:00-04:00,2023-07-05,5.75,5.75,5.25,5.25,14876,0.0,0.0
2023-07-06 00:00:00-04:00,2023-07-06,5.75,5.75,5.0,5.25,7136,0.0,0.0
2023-07-07 00:00:00-04:00,2023-07-07,5.25,6.25,4.75,4.75,92668,0.0,0.0
2023-07-10 00:00:00-04:00,2023-07-10,4.75,5.25,4.75,5.25,24516,0.0,0.0
2023-07-11 00:00:00-04:00,2023-07-11,5.25,6.0,5.25,5.75,38248,0.0,0.0
2023-07-12 00:00:00-04:00,2023-07-12,5.75,6.5,5.75,6.25,66232,0.0,0.0
2023-07-13 00:00:00-04:00,2023-07-13,6.25,7.0,6.25,6.75,122320,0.0,0.0
2023-07-14 00:00:00-04:00,2023-07-14,6.5,6.75,5.75,5.75,50160,0.0,0.0
2023-07-17 00:00:00-04:00,2023-07-17,5.75,5.75,5.0,5.75,38812,0.0,0.0
2023-07-18 00:00:00-04:00,2023-07-18,5.5,6.25,5.5,6.0,19580,0.0,0.0
2023-07-19 00:00:00-04:00,2023-07-19,6.25,6.25,6.0,6.0,18436,0.0,0.0
2023-07-20 00:00:00-04:00,2023-07-20,6.0,6.25,5.75,5.75,11116,0.0,0.0
2023-07-21 00:00:00-04:00,2023-07-21,5.75,6.25,5.75,5.75,7664,0.0,0.0
2023-07-24 00:00:00-04:00,2023-07-24,5.75,6.0,5.75,6.0,11296,0.0,0.0
2023-07-25 00:00:00-04:00,2023-07-25,5.75,7.0,5.75,7.0,44820,0.0,0.0
2023-07-26 00:00:00-04:00,2023-07-26,7.25,9.75,7.0,9.0,266696,0.0,0.0
2023-07-27 00:00:00-04:00,2023-07-27,8.75,9.0,7.0,7.5,52184,0.0,0.0
2023-07-28 00:00:00-04:00,2023-07-28,7.75,8.25,7.25,7.75,22072,0.0,0.0
2023-07-31 00:00:00-04:00,2023-07-31,7.75,8.0,7.0,7.5,23420,0.0,0.0
2023-08-01 00:00:00-04:00,2023-08-01,7.5,8.25,7.5,7.75,31948,0.0,0.0
2023-08-02 00:00:00-04:00,2023-08-02,8.0,9.75,7.5,8.5,93396,0.0,0.0
2023-08-03 00:00:00-04:00,2023-08-03,8.25,9.75,7.5,7.75,33700,0.0,0.0
2023-08-04 00:00:00-04:00,2023-08-04,7.75,8.0,7.5,7.5,33576,0.0,0.0
2023-08-07 00:00:00-04:00,2023-08-07,8.5,8.5,6.75,7.0,28568,0.0,0.0
2023-08-08 00:00:00-04:00,2023-08-08,7.0,7.25,6.0,6.75,22000,0.0,0.0
2023-08-09 00:00:00-04:00,2023-08-09,7.0,7.25,6.25,6.5,9200,0.0,0.0
2023-08-10 00:00:00-04:00,2023-08-10,6.25,7.0,6.0,7.0,22416,0.0,0.0
2023-08-11 00:00:00-04:00,2023-08-11,6.75,7.75,6.5,7.75,9400,0.0,0.0
2023-08-14 00:00:00-04:00,2023-08-14,7.5,7.75,7.25,7.75,10260,0.0,0.0
2023-08-15 00:00:00-04:00,2023-08-15,6.75,7.5,6.25,7.0,15640,0.0,0.0
2023-08-16 00:00:00-04:00,2023-08-16,7.5,7.5,6.75,7.0,15608,0.0,0.0
2023-08-17 00:00:00-04:00,2023-08-17,6.75,7.0,6.25,6.5,8624,0.0,0.0
2023-08-18 00:00:00-04:00,2023-08-18,6.25,7.5,5.0,7.5,40224,0.0,0.0
2023-08-21 00:00:00-04:00,2023-08-21,7.0,7.75,7.0,7.5,17980,0.0,0.0
2023-08-22 00:00:00-04:00,2023-08-22,7.25,8.0,6.75,6.75,8248,0.0,0.0
2023-08-23 00:00:00-04:00,2023-08-23,7.25,7.25,6.5,7.0,2848,0.0,0.0
2023-08-24 00:00:00-04:00,2023-08-24,7.75,7.75,6.25,6.75,10240,0.0,0.0
2023-08-25 00:00:00-04:00,2023-08-25,6.5,7.0,6.5,7.0,10944,0.0,0.0
2023-08-28 00:00:00-04:00,2023-08-28,7.0,7.5,6.25,6.5,13968,0.0,0.0
2023-08-29 00:00:00-04:00,2023-08-29,6.75,7.5,6.5,7.0,24148,0.0,0.0
2023-08-30 00:00:00-04:00,2023-08-30,7.0,7.25,6.75,6.75,5060,0.0,0.0
2023-08-31 00:00:00-04:00,2023-08-31,6.75,7.0,6.0,6.25,12964,0.0,0.0
2023-09-01 00:00:00-04:00,2023-09-01,6.0,6.5,5.25,5.75,22792,0.0,0.0
2023-09-05 00:00:00-04:00,2023-09-05,6.0,6.0,5.25,5.5,3188,0.0,0.0
2023-09-06 00:00:00-04:00,2023-09-06,5.5,5.75,5.5,5.75,2928,0.0,0.0
2023-09-07 00:00:00-04:00,2023-09-07,5.75,5.75,5.5,5.5,3900,0.0,0.0
2023-09-08 00:00:00-04:00,2023-09-08,5.5,5.75,5.5,5.5,2232,0.0,0.0
2023-09-11 00:00:00-04:00,2023-09-11,5.25,5.75,5.0,5.0,5628,0.0,0.0
2023-09-12 00:00:00-04:00,2023-09-12,5.0,5.75,5.0,5.0,5512,0.0,0.0
2023-09-13 00:00:00-04:00,2023-09-13,5.5,5.5,4.25,4.5,19656,0.0,0.0
2023-09-14 00:00:00-04:00,2023-09-14,4.5,6.25,4.5,5.0,21120,0.0,0.0
2023-09-15 00:00:00-04:00,2023-09-15,4.75,6.25,4.75,6.25,17800,0.0,0.0
2023-09-18 00:00:00-04:00,2023-09-18,5.75,6.0,5.0,5.25,6344,0.0,0.0
2023-09-19 00:00:00-04:00,2023-09-19,5.25,5.5,5.0,5.25,3424,0.0,0.0
2023-09-20 00:00:00-04:00,2023-09-20,5.25,5.25,5.0,5.25,4380,0.0,0.0
2023-09-21 00:00:00-04:00,2023-09-21,5.0,5.25,4.75,5.0,6068,0.0,0.0
2023-09-22 00:00:00-04:00,2023-09-22,5.0,5.0,4.75,4.75,2372,0.0,0.0
2023-09-25 00:00:00-04:00,2023-09-25,4.75,5.25,4.5,5.0,6100,0.0,0.0
